url,Issuer,Cedent / sponsor,Placement / structuring agent/s,Risk modelling / calculation agents etc,Risks / perils covered,Size,Trigger type,Ratings,Date of issue
https://www.artemis.bm/deal-directory/sanders-re-ii-ltd-series-2024-3/,Sanders Re II Ltd.,Allstate,Aon Securities is sole structuring agent and joint bookrunner. Goldman Sachs is joint bookrunner.,AIR Worldwide,"US named storm, earthquake, severe weather, wildfire, volcanic eruption, meteorite impact (excl. Florida)",350000000.0,Indemnity,NR,Dec 2024
https://www.artemis.bm/deal-directory/maschpark-re-ltd-series-2024-1/,Maschpark Re Ltd.,Talanx AG (via Hannover Re),Aon Securities is lead structuring agent and joint bookrunner. GC Securities is joint structuring agent & bookrunner.,AIR Worldwide,"Chile, Peru, Bolivia, Argentina earthquake",100000000.0,Parametric,NR,Dec 2024
https://www.artemis.bm/deal-directory/athena-i-reinsurance-dac/,Athéna I Reinsurance DAC,GAREAT,GC Securities is sole structuring agent and bookrunner,Synthetik Applied Technologies LLC,Terrorism risk,,,,
https://www.artemis.bm/deal-directory/titania-re-ltd-series-2024-1/,Titania Re Ltd.,Syndicate 1910 (Ariel Re),Howden Capital Markets & Advisory is sole structuring agent and joint bookrunner. Aon Securities is joint bookrunner.,AIR Worldwide,"U.S., Puerto Rico, U.S. Virgin Islands, D.C., Canada named storm and earthquake",325000000.0,Industry loss index,NR,Nov 2024
https://www.artemis.bm/deal-directory/residential-reinsurance-2024-limited-series-2024-2/,Residential Reinsurance 2024 Limited,USAA,Swiss Re Capital Markets and GC Securities are joint structuring agents and bookrunners,AIR Worldwide,"U.S. tropical cyclones, earthquakes (plus fire following), severe thunderstorm, winter storm, wildfire, volcanic eruption, meteorite impact, other perils (all including auto & renter policy flood losses)",450000000.0,Indemnity,NR,Nov 2024
https://www.artemis.bm/deal-directory/orange-capital-re-dac-series-2024-1/,Orange Capital Re DAC,NN Group,GC Securities is sole structuring agent and bookrunner,RMS,European windstorm and severe thunderstorm,,,,
https://www.artemis.bm/deal-directory/acorn-re-ltd-series-2024-1/,Acorn Re Ltd.,"Hannover Rück SE / Oak Tree Assurance, Ltd.",GC Securities is sole structuring agent and bookrunner,RMS,U.S. earthquake,450000000.0,Parametric,NR,Oct 2024
https://www.artemis.bm/deal-directory/eclipse-re-ltd-series-2024-8a/,Eclipse Re Ltd.,Unknown,Unknown,Unknown,Unknown property catastrophe risks,5000000.0,Unknown,NR,Oct 2024
https://www.artemis.bm/deal-directory/logistics-re-ltd-series-2024-1/,Logistics Re Ltd.,"Prologis, Inc.",GC Securities is sole structuring agent and joint bookrunner. Swiss Re Capital Markets is joint bookrunner.,AIR Worldwide,U.S. earthquake,95000000.0,Indemnity,NR,Oct 2024
https://www.artemis.bm/deal-directory/mangrove-risk-solutions-bermuda-ltd-series-2024-c/,Mangrove Risk Solutions Bermuda Ltd.,Unknown,GC Securities is sole structuring agent and bookrunner,Unknown,Unknown property catastrophe risks,14350000.0,Unknown,NR,Oct 2024
